id,business_name,sector,lga,annual_revenue,employee_count,registered
1,"Johnson, Patel and Wood",Finance,Victoria Island,84111153,248,False
2,"Bowers, Young and Ball",Real Estate,Ajah,199515310,65,False
3,Turner-Owens,Real Estate,Apapa,8243913,387,True
4,Martin-Valdez,Retail,Mushin,157663487,366,True
5,"Wallace, Johnson and Jenkins",Retail,Kosofe,311655607,115,True
6,"Clark, Cruz and Estrada",Tech,Oshodi-Isolo,162318299,458,False
7,"Vazquez, Sanchez and Allison",Retail,Mushin,18516332,148,True
8,"Olson, Lopez and Hart",Tech,Apapa,479527463,260,True
9,Ramos-Gaines,Tech,Somolu,14652321,299,False
10,Rivas-Sexton,Retail,Yaba,350482954,304,True
11,Ryan-Morrison,Manufacturing,Ikorodu,44874163,291,False
12,"Jones, Lane and Paul",Manufacturing,Eti-Osa,402793744,450,False
13,Cunningham and Sons,Manufacturing,Kosofe,307521498,137,False
14,Jones Inc,Real Estate,Kosofe,353002022,150,False
15,Anderson-Lee,Real Estate,Ifako-Ijaiye,322922063,276,False
16,Horn and Sons,Manufacturing,Kosofe,392002655,53,True
17,Johnson Inc,Tech,Victoria Island,271030229,152,True
18,Wise-Ramos,Tech,Apapa,61204884,306,True
19,"Harmon, Walter and Scott",Manufacturing,Shomolu,434109451,326,False
20,Moore-Bean,Retail,Lekki,26507535,449,True
21,Castaneda-Daniels,Retail,Amuwo-Odofin,457908013,53,False
22,Bell-Phillips,Finance,Shomolu,278274993,244,True
23,Avila Inc,Retail,Eti-Osa,359866181,43,True
24,Lopez Ltd,Finance,Eti-Osa,420194913,209,True
25,Walker-Sanders,Manufacturing,Mushin,44076327,29,False
26,Kelly PLC,Finance,Badagry,72434186,73,True
27,Turner and Sons,Manufacturing,Epe,249868285,324,False
28,Silva and Sons,Tech,Agege,103837793,154,True
29,"Ramirez, Barton and Valenzuela",Manufacturing,Shomolu,95332642,6,True
30,"Flores, Henderson and Bell",Real Estate,Oshodi-Isolo,432993543,162,True
31,"Bradford, Blackburn and Skinner",Finance,Epe,67233346,113,True
32,"Davis, Davenport and Rice",Tech,Somolu,379931854,111,True
33,Martinez-Gray,Manufacturing,Agege,230029435,325,True
34,Stevens PLC,Manufacturing,Shomolu,187840406,384,False
35,"Wheeler, Watkins and Quinn",Tech,Eti-Osa,305575399,376,True
36,"Jackson, Hickman and Miller",Retail,Epe,365438591,154,True
37,Jones-Coleman,Tech,Epe,102706155,394,True
38,"Bryant, Rodriguez and Martinez",Manufacturing,Shomolu,219967992,66,True
39,"Jarvis, Moody and James",Manufacturing,Shomolu,195392104,417,False
40,"Anderson, Davis and Smith",Retail,Victoria Island,196979356,284,False
41,Johnson Ltd,Finance,Eti-Osa,499956482,134,True
42,Lopez-Price,Finance,Alimosho,478161592,398,True
43,"Levine, Miller and Brandt",Real Estate,Ifako-Ijaiye,353020149,480,False
44,White Group,Manufacturing,Apapa,204790490,136,True
45,Wilkinson LLC,Finance,Badagry,201967158,354,False
46,"Terrell, Gordon and Hubbard",Real Estate,Victoria Island,414263708,141,True
47,Bell-Larson,Real Estate,Badagry,333295580,443,True
48,Garcia LLC,Manufacturing,Shomolu,227716997,335,True
49,"Mason, Hendrix and Fox",Finance,Oshodi-Isolo,71614774,449,False
50,Griffith-Edwards,Retail,Agege,255191561,131,False
51,Nelson-Nolan,Tech,Shomolu,178638988,396,True
52,"Hill, Ramirez and Beasley",Tech,Badagry,212963054,48,True
53,Woods and Sons,Tech,Ifako-Ijaiye,342611651,377,False
54,Gregory-Brock,Retail,Mushin,410552565,124,False
55,Cummings Inc,Real Estate,Agege,86539202,283,True
56,Ashley LLC,Finance,Ikeja,133182369,462,True
57,"Montgomery, Cobb and Williams",Finance,Shomolu,441748410,260,False
58,Baker-George,Real Estate,Victoria Island,299811547,385,False
59,"Hoover, Newton and Bush",Real Estate,Shomolu,210600497,181,True
60,Mcdowell-Keith,Finance,Epe,447236822,47,False
61,Horton-Scott,Real Estate,Yaba,430371482,15,False
62,Moore-Chang,Real Estate,Ikeja,452438403,346,True
63,Patel Ltd,Manufacturing,Somolu,116263441,92,True
64,Rodriguez Inc,Manufacturing,Surulere,193621846,155,True
65,Bentley and Sons,Finance,Agege,106330364,184,True
66,"Adams, Tanner and Wilkerson",Tech,Agege,422504663,154,False
67,"Tate, Rivers and Thomas",Tech,Ikorodu,211862399,334,False
68,Miller and Sons,Finance,Agege,220810980,488,True
69,Carter Group,Retail,Surulere,231342650,337,False
