id,owner_id,lga,property_type,estimated_value
1,1,Shomolu,Residential,5897201.04
2,2,Oshodi-Isolo,Commercial,26422894.32
3,3,Kosofe,Residential,2675256.63
4,4,Lekki,Residential,5195729.23
5,5,Mushin,Residential,25438798.81
6,6,Victoria Island,Commercial,20966522.75
7,7,Amuwo-Odofin,Residential,9862177.37
8,8,Somolu,Residential,17307292.31
9,9,Yaba,Commercial,9944587.88
10,10,Ajah,Residential,15666657.12
11,11,Eti-Osa,Commercial,15620259.34
12,12,Yaba,Residential,1120569.64
13,13,Somolu,Residential,893235.99
14,14,Apapa,Residential,14106623.44
15,15,Ikorodu,Commercial,13469847.49
16,16,Ifako-Ijaiye,Residential,4865880.3
17,17,Eti-Osa,Commercial,23174243.51
18,18,Ajah,Residential,8518322.97
19,19,Yaba,Residential,3617149.92
20,20,Ajah,Commercial,617201.05
21,21,Epe,Residential,4062075.44
22,22,Oshodi-Isolo,Residential,14093891.49
23,23,Eti-Osa,Commercial,24747105.71
24,24,Oshodi-Isolo,Commercial,19065643.45
25,25,Oshodi-Isolo,Commercial,8485518.36
26,26,Apapa,Residential,4647566.14
27,27,Oshodi-Isolo,Residential,12692525.62
28,28,Shomolu,Residential,9040850.55
29,29,Mushin,Commercial,11825258.29
30,30,Badagry,Commercial,19759000.57
31,31,Lekki,Commercial,27870182.39
32,32,Apapa,Commercial,12997130.56
33,33,Agege,Commercial,5852655.35
34,34,Ikeja,Commercial,7755284.73
35,35,Kosofe,Commercial,3586150.99
36,36,Kosofe,Commercial,20730955.13
37,37,Yaba,Residential,7474719.67
38,38,Badagry,Residential,2426983.78
39,39,Amuwo-Odofin,Commercial,6335439.19
40,40,Ifako-Ijaiye,Residential,10582623.5
41,41,Amuwo-Odofin,Residential,4497616.54
42,42,Yaba,Residential,19059566.4
43,43,Lekki,Residential,10624561.91
44,44,Oshodi-Isolo,Commercial,19440852.54
45,45,Epe,Commercial,12809264.74
46,46,Apapa,Commercial,11405777.84
47,47,Agege,Residential,1448581.74
48,48,Amuwo-Odofin,Commercial,11267834.24
49,49,Apapa,Residential,3324578.08
50,50,Lekki,Commercial,7407448.08
51,51,Surulere,Residential,969305.33
52,52,Amuwo-Odofin,Residential,8699702.12
53,53,Lekki,Residential,34701516.26
54,54,Victoria Island,Commercial,15964480.28
55,55,Somolu,Residential,9362662.19
56,56,Agege,Residential,3770991.25
57,57,Surulere,Residential,29337061.75
58,58,Apapa,Commercial,6569290.5
59,59,Agege,Residential,11586454.61
60,60,Ikeja,Commercial,32031906.65
61,61,Shomolu,Residential,24107246.28
62,62,Apapa,Residential,12926887.79
63,63,Apapa,Residential,15929259.68
64,64,Apapa,Commercial,13117332.4
65,65,Badagry,Residential,5245803.91
66,66,Ajah,Commercial,21244860.6
67,67,Shomolu,Residential,7400943.94
68,68,Ajah,Commercial,22351578.66
69,69,Ifako-Ijaiye,Commercial,6141188.34
70,70,Yaba,Commercial,20491655.2
71,71,Yaba,Residential,7791749.53
72,72,Badagry,Residential,12018410.7
73,73,Apapa,Commercial,17002925.09
74,74,Ifako-Ijaiye,Residential,10431526.7
75,75,Lekki,Commercial,65786867.52
76,76,Kosofe,Commercial,3755081.22
77,77,Lekki,Residential,28272927.57
78,78,Epe,Commercial,2918680.18
79,79,Ajah,Commercial,682760.26
80,80,Somolu,Commercial,5070112.75
81,81,Oshodi-Isolo,Commercial,15286281.99
82,82,Somolu,Residential,11116575.44
83,83,Victoria Island,Commercial,7549053.35
84,84,Ajah,Residential,10739003.09
85,85,Oshodi-Isolo,Commercial,4362849.7
86,86,Kosofe,Residential,1948115.16
87,87,Shomolu,Commercial,7169476.14
88,88,Epe,Commercial,2115572.98
89,89,Shomolu,Commercial,1005201.25
90,90,Oshodi-Isolo,Commercial,1921513.12
91,91,Surulere,Residential,16397429.37
92,92,Agege,Commercial,1937184.38
93,93,Apapa,Residential,2421723.33
94,94,Yaba,Commercial,7203163.29
95,95,Yaba,Commercial,21101730.38
96,96,Surulere,Commercial,4250038.98
97,97,Apapa,Residential,8444395.47
98,98,Alimosho,Residential,7505214.94
99,99,Eti-Osa,Commercial,28794552.5
100,100,Somolu,Commercial,5629222.62
101,101,Badagry,Residential,18383351.95
102,102,Kosofe,Commercial,13258108.34
103,103,Surulere,Commercial,1261366.42
104,104,Ifako-Ijaiye,Residential,19727156.08
105,105,Ikeja,Commercial,36273742.26
106,106,Ikeja,Residential,17872839.88
107,107,Yaba,Residential,12115519.52
108,108,Eti-Osa,Residential,12233819.2
109,109,Mushin,Commercial,11618037.05
110,110,Alimosho,Residential,11160801.15
111,111,Ifako-Ijaiye,Residential,23409879.46
112,112,Eti-Osa,Commercial,38301274.28
113,113,Eti-Osa,Residential,19809240.62
114,114,Surulere,Commercial,10898079.0
115,115,Victoria Island,Residential,61109083.62
116,116,Ajah,Residential,7964698.58
117,117,Ikorodu,Commercial,5982475.52
118,118,Victoria Island,Commercial,12765411.65
119,119,Epe,Commercial,10811019.67
120,120,Kosofe,Commercial,11393871.26
121,121,Ifako-Ijaiye,Residential,8880863.94
122,122,Ikeja,Commercial,25119261.99
123,123,Agege,Commercial,8212643.4
124,124,Ikeja,Commercial,24510571.12
125,125,Ajah,Residential,17335138.85
126,126,Badagry,Commercial,3243128.02
127,127,Somolu,Residential,5715169.02
128,128,Alimosho,Residential,1601527.37
129,129,Alimosho,Residential,12212011.78
130,130,Shomolu,Residential,6544825.74
131,131,Apapa,Commercial,13719313.77
132,132,Ikeja,Commercial,17510833.81
133,133,Kosofe,Residential,1292930.57
134,134,Oshodi-Isolo,Residential,6180789.44
135,135,Kosofe,Commercial,746729.96
136,136,Badagry,Residential,14769220.29
137,137,Badagry,Residential,1361130.36
138,138,Badagry,Residential,3575638.19
139,139,Ikeja,Residential,1130222.21
140,140,Oshodi-Isolo,Commercial,5685300.79
141,141,Ikeja,Commercial,23937064.46
142,142,Yaba,Commercial,19147517.6
143,143,Eti-Osa,Commercial,36444521.49
144,144,Epe,Commercial,17863504.58
145,145,Mushin,Commercial,14137136.06
146,146,Ajah,Commercial,7458083.34
147,147,Mushin,Residential,19780238.55
148,148,Kosofe,Commercial,20223680.1
149,149,Shomolu,Commercial,15761016.77
150,150,Alimosho,Residential,2281412.32
151,151,Ifako-Ijaiye,Residential,16326689.49
152,152,Surulere,Residential,22918699.6
153,153,Apapa,Commercial,15144700.82
154,154,Ajah,Residential,21872901.34
155,155,Lekki,Commercial,35086408.48
156,156,Somolu,Commercial,2716146.07
157,157,Oshodi-Isolo,Residential,10707418.33
158,158,Ikeja,Commercial,37374178.52
159,159,Shomolu,Residential,7717093.92
160,160,Oshodi-Isolo,Residential,16316715.97
161,161,Ajah,Commercial,1749855.08
162,162,Epe,Commercial,17684789.92
163,163,Ajah,Residential,14834996.42
164,164,Surulere,Commercial,12417325.03
165,165,Shomolu,Commercial,2165020.52
166,166,Somolu,Commercial,5380612.46
167,167,Agege,Commercial,1490769.26
168,168,Alimosho,Residential,1257426.75
169,169,Badagry,Residential,9243777.02
170,170,Ifako-Ijaiye,Residential,8879015.62
171,171,Kosofe,Commercial,12760383.67
172,172,Shomolu,Commercial,3106749.27
173,173,Amuwo-Odofin,Residential,1467491.11
174,174,Ikorodu,Residential,10203928.34
175,175,Ifako-Ijaiye,Commercial,1541378.07
176,176,Yaba,Residential,6342876.56
177,177,Ajah,Commercial,1416800.5
178,178,Eti-Osa,Commercial,20544000.83
179,179,Mushin,Commercial,18869697.42
180,180,Agege,Commercial,10050529.41
181,181,Victoria Island,Residential,6060981.49
182,182,Victoria Island,Commercial,8687434.71
183,183,Epe,Residential,15108056.82
184,184,Yaba,Commercial,15131905.22
185,185,Kosofe,Commercial,9096623.17
186,186,Oshodi-Isolo,Commercial,4852067.96
187,187,Ikeja,Commercial,4720809.84
188,188,Mushin,Residential,13847567.87
189,189,Badagry,Commercial,25942217.79
190,190,Shomolu,Commercial,12517037.49
191,191,Ajah,Commercial,10614258.89
192,192,Ikorodu,Residential,16546752.84
193,193,Oshodi-Isolo,Residential,16204758.39
194,194,Ifako-Ijaiye,Residential,16998458.53
195,195,Oshodi-Isolo,Commercial,10307012.74
196,196,Ikorodu,Commercial,6533399.34
197,197,Shomolu,Residential,10219828.44
198,198,Badagry,Residential,15327450.6
199,199,Ikeja,Residential,6890208.75
200,200,Badagry,Residential,15543974.69
201,201,Ifako-Ijaiye,Residential,1445692.08
202,202,Mushin,Residential,6576788.47
203,203,Mushin,Commercial,12546209.54
204,204,Ikeja,Residential,31920895.7
205,205,Mushin,Commercial,12796353.32
206,206,Alimosho,Commercial,10508593.71
207,207,Ikeja,Residential,19063129.36
208,208,Ikorodu,Commercial,811581.78
209,209,Ajah,Commercial,9756967.11
210,210,Ajah,Residential,25432763.27
211,211,Somolu,Commercial,16055760.64
212,212,Amuwo-Odofin,Commercial,5190732.59
213,213,Ikorodu,Residential,14317042.9
214,214,Shomolu,Commercial,891761.01
215,215,Ifako-Ijaiye,Residential,4027325.85
216,216,Somolu,Residential,12713101.35
217,217,Yaba,Commercial,37309026.02
218,218,Ikorodu,Residential,7201795.37
219,219,Ifako-Ijaiye,Residential,6681378.13
220,220,Ikeja,Commercial,18950633.04
221,221,Agege,Residential,2187195.61
222,222,Ajah,Commercial,6292099.97
