taxpayer_id,tax_year,declared_income,expected_tax,tax_paid,payment_status
1,2024,2559625.5,460732.59,287727.5,Partial
2,2024,6664902.0,1199682.36,774155.03,Partial
3,2024,774840.0,77484.0,71169.05,Paid
4,2024,1558804.0,155880.4,135631.54,Partial
5,2024,6772060.5,1218970.89,554753.65,Unpaid
6,2024,6073672.0,1093260.96,1051498.39,Paid
7,2024,5814160.5,1046548.89,711653.25,Partial
8,2024,5868102.0,1056258.36,755964.11,Partial
9,2024,3236244.0,582523.92,280601.77,Unpaid
10,2024,5396614.5,971390.61,958471.11,Paid
11,2024,4696710.0,845407.8,753427.43,Partial
12,2024,411620.0,20581.0,17946.63,Partial
13,2024,360202.5,18010.12,9352.66,Partial
14,2024,5814565.5,1046621.79,657487.81,Partial
15,2024,4478183.0,806072.94,631396.93,Partial
16,2024,3092934.0,556728.12,373230.53,Partial
17,2024,6060198.0,1090835.64,488148.95,Unpaid
18,2024,3169845.0,570572.1,445673.87,Partial
19,2024,1139032.0,113903.2,66348.61,Partial
20,2024,364533.0,18226.65,8265.79,Unpaid
21,2024,2275438.5,409578.93,357726.24,Partial
22,2024,3666024.0,659884.32,287313.63,Unpaid
23,2024,6644760.0,1196056.8,585589.41,Unpaid
24,2024,4787773.5,861799.23,575681.89,Partial
25,2024,2484769.5,447258.51,324709.68,Partial
26,2024,1602088.5,160208.85,93369.72,Partial
27,2024,4842880.5,871718.49,823163.77,Paid
28,2024,2328943.5,419209.83,405627.43,Paid
29,2024,4477329.0,805919.22,338002.52,Unpaid
30,2024,5788707.0,1041967.26,837429.09,Partial
31,2024,14578652.0,3644663.0,2639464.94,Partial
32,2024,5903599.5,1062647.91,775732.97,Partial
33,2024,1825617.0,182561.7,104717.39,Partial
34,2024,2349242.5,422863.65,374445.76,Partial
35,2024,1794882.0,179488.2,154377.8,Partial
36,2024,6999129.0,1259843.22,1035213.17,Partial
37,2024,2981648.0,536696.64,324755.14,Partial
38,2024,866647.5,86664.75,67251.85,Partial
39,2024,2344900.5,422082.09,291447.68,Partial
40,2024,5857879.5,1054418.31,489355.54,Unpaid
41,2024,2928003.0,527040.54,330243.6,Partial
42,2024,9913746.0,1784474.28,873500.16,Unpaid
43,2024,2830100.0,509418.0,417264.28,Partial
44,2024,5421721.5,975909.87,447747.45,Unpaid
45,2024,3687165.0,663689.7,319964.8,Unpaid
46,2024,3235083.0,582314.94,531711.77,Paid
47,2024,616123.0,61612.3,36560.74,Partial
48,2024,4321071.0,777792.78,769159.28,Paid
49,2024,915432.0,91543.2,44242.83,Unpaid
50,2024,2776300.0,499734.0,265908.46,Partial
51,2024,598468.0,59846.8,34878.72,Partial
52,2024,4292284.5,772611.21,555121.15,Partial
53,2024,17367160.0,4341790.0,3182097.89,Partial
54,2024,7904400.0,1422792.0,854955.71,Partial
55,2024,3169260.0,570466.8,441484.26,Partial
56,2024,1451090.0,145109.0,126389.94,Partial
57,2024,8106012.0,1459082.16,866694.8,Partial
58,2024,3212439.0,578239.02,417777.69,Partial
59,2024,4388416.0,789914.88,786676.23,Paid
60,2024,8914312.5,1604576.25,1098653.36,Partial
61,2024,6832038.0,1229766.84,813244.81,Partial
62,2024,5751370.5,1035246.69,806560.7,Partial
63,2024,5135788.5,924441.93,402964.24,Unpaid
64,2024,6593599.5,1186847.91,690152.06,Partial
65,2024,2809533.0,505715.94,221503.58,Unpaid
66,2024,5966982.0,1074056.76,641319.29,Partial
67,2024,2349934.5,422988.21,281244.86,Partial
68,2024,7288143.0,1311865.74,591651.45,Unpaid
69,2024,2347519.5,422553.51,353001.2,Partial
70,2024,6449700.0,1160946.0,1139120.22,Paid
71,2024,4172006.0,750961.08,374203.91,Unpaid
72,2024,3628234.5,653082.21,346656.04,Partial
